id,image,question,answer
1,image/d41d3a92-6fc1-4cb8-9ca1-d2342fa2165a.png,考生的违纪行为会被如何记录？,考试管理部门会将违纪信息记录至公务员录用考试违纪违规行为信息库，并更新考生的违纪记录。
2,image/5f1128ce-4124-4cb7-9805-e4542b3f674b.png,AMD新CEO为实现扭亏为盈采取了哪些关键策略？,新产品发布、压缩开支和销售旺季推动销售增长。
3,image/cf897c97-7c2c-44e6-9ce7-3d1f2b5c81e4.png,IMF为何建议日本提高销售税率至7-8%？,可能是为了应对财政压力或促进经济结构性改革。
4,image/44d5ac60-4f27-4824-9c16-ac93b76cac80.png,反流氓软件联盟何时起诉了千橡公司？,2023年1月15日。
5,image/b872c0cf-e7f1-42d3-889a-b922133aba36.png,黄晓明和解晓东缺席彩排后，导演组采取了什么措施？,导演组考虑换人。
6,image/c66aac56-ef79-4aaa-85b7-10f0c9d2eaa8.png,同方电子的首款32寸LED电视发布时间与专利技术到期时间相差多少天？,专利技术到期时间为2024年7月9日，首款电视发布时间为2023年7月9日，两者相差365天。
7,image/c9d8ec8d-8aa6-48fd-82cf-8bba7d46aef7.png,韦迪对孙卫执教的评价如何？,韦迪认为孙卫在执教期间敬业无问题，并表示其未来有望留在教练组。
8,image/cf1ab07d-5782-40b4-a602-fdb9f7b5c088.png,用户最终是否完成了购买？,是的，用户根据流程前往购买，表明完成了购买意向。
9,image/fb987c95-5f73-4bc5-a974-002475073db4.png,橱柜市场为何呈现两极分化趋势？,因为消费市场趋向品牌产品与平价产品两端，20%的品牌产品凭借优势占据80%市场，适应中档消费需求，而低价产品则满足低档装修需要，导致市场分化。
10,image/97969d4a-31e9-4ab3-9e3f-5268a4756cdd.png,富士Z31的哪些特点使其具有较高的性价比？,富士Z31凭借1000万像素CCD、3倍光学变焦、2.7英寸显示屏等高性能参数，结合679元的价格和多彩外观设计，获得了高性价比评价。
11,image/c7129fbf-2937-455c-bac7-5d323e027a02.png,德永佳集团在瑞信维持中性评级后股价为何仍下跌？,尽管瑞信维持中性评级，但其随后下调目标价，叠加公司增持班尼路股权及发行新股动作引发市场担忧，导致股价下跌。
12,image/fb987c95-5f73-4bc5-a974-002475073db4.png,为何橱柜市场呈现两极分化趋势？,因为消费市场趋势推动20%的品牌产品和平价产品分别占据80%和20%的市场份额，导致行业向品牌优势和低价竞争两端集中。
13,image/7f90cd8f-572f-4cbe-a20f-f084e9abc305.png,促销活动结束于哪一天？,根据时间线，促销活动从2023-04-24开始，持续7天，因此结束于2023-05-01。
14,image/d3e4ae17-427d-4a4b-9dc3-25000b0ef547.png,罗海军与美海军陆战队举行演习的主要目的是什么？,提高协调作战能力。
15,image/9352b373-bf66-4f1b-9bf9-ff800e1a74bd.png,米田贺在比赛中有哪些精彩扑救表现？,米田贺先后扑出了沈愚燃的头球攻门、李东国的冷射、沈愚燃的鱼跃头球和李东国的挑射。
16,image/bcd98152-aa99-4b87-9a71-d76ec2e95c20.png,梁静产后出现健忘症状，具体表现有哪些？,具体表现为忘记锁门、忘记车位位置、在讲电话时忘记继续通话。
17,image/625f07bd-5238-49fe-ac49-d8f2e7b9f58e.png,踩踏事故是在哪个环节发生的？,踩踏事故发生在市民排队抢购之后，具体时间为2023年8月30日16:00，持续1小时。
18,image/0c853712-49dd-4544-888e-1a11397f8ef5.png,谁将暂代新泽西篮网主教练一职？,汤姆-巴莱斯。
19,image/e90db4c6-ee6a-4198-8f72-c262228421ce.png,主犯为何被判处无期徒刑？,因其在跨省多地多次实施抢劫，且犯罪时间长达14个月，情节严重。
20,image/e392b4ce-a12b-442e-84e7-3cc50cec1952.png,宋承宪的掌掴镜头拍摄何时开始？,2023年6月16日，掌掴镜头彩排结束后立即开始，预计持续3小时。
21,image/96f21b62-3fa0-4c18-822a-43054b09d63c.png,杨可可和李开复分别代表哪方签署合作协议？,杨可可代表中国电信，李开复代表谷歌公司。
22,image/0c853712-49dd-4544-888e-1a11397f8ef5.png,为什么新泽西篮网决定让汤姆-巴莱斯暂代主教练？,因为新泽西篮网开局遭遇了16连败，导致主教练劳伦斯-弗兰克被解雇，由汤姆-巴莱斯接任。
23,image/c4ad61bb-313d-4f58-ae58-3f1bc33f496f.png,AMD何时计划进入平板电脑市场？,根据甘特图，AMD计划在2011-01-01进入平板电脑市场，前提是该市场成熟。
24,image/8a012913-d02c-4c9d-8cfa-9350f043f632.png,银行为何暂停发行和审批部分理财产品？,因银监会发布新规叫停六类违规理财产品，要求银行自查并整改，故银行暂停发行和审批疑似违规产品以符合监管要求。
25,image/d93d174b-97d9-49f0-a809-0ac3565ec172.png,王磊为何能进入国家队候选名单？,因为他在CBA联赛表现出色，尽管有伤病困扰，但复出后状态恢复且数据表现优异。
26,image/1f274f39-0bde-47c4-a5ba-b9373769ba8e.png,东港股份的业务分析流程中，哪一项任务是最后完成的？,投资建议与盈利预测是东港股份业务分析流程中最后完成的任务。
27,image/1b201ea8-0712-4c17-bd43-3ed9e06b87c4.png,Kaman Corp在提交了备用注册申请后，是否可以在三年内随时发行最多2亿美元的债券或股票？,是的，根据注册文件和流程安排，Kaman Corp在提交备用注册申请并满足SEC要求后，三年内可随时进入市场发行最多2亿美元的债券或股票。
28,image/9df93049-921c-4a7d-a2bf-07bc7ad89bec.png,何超仪在2023年5月18日当天有哪些安排？,2023年5月18日，何超仪出席了时装品牌活动，并在同一天遭遇了夜店被推开事件。
29,image/e1509180-1c32-4ead-91cf-aa72d4f1d37d.png,Bill Gross为何建议减少持有房贷债券？,因为预测经济复苏将导致信用风险上升，高风险债券、商业地产和低评级市政债券可能受损。
30,image/d41d3a92-6fc1-4cb8-9ca1-d2342fa2165a.png,考生在公务员考试中出现违纪行为会受到什么处理？,根据违纪严重程度，考生可能被取消本次报考资格、5年内不得报考或终身不得报考公务员，并记录至违纪信息库。
31,image/9d294426-77f2-480a-b29e-e5e8677c020c.png,央视是在哪个日期之后购买了《新流星蝴蝶剑》？,央视在2023-06-01之后购买了《新流星蝴蝶剑》。
32,image/cf897c97-7c2c-44e6-9ce7-3d1f2b5c81e4.png,IMF为何建议日本提高销售税率至7-8%？,可能是为了应对财政压力或促进经济稳定，但具体原因需结合政策背景分析。
33,image/bb5abc96-bf3b-4301-bd88-efa7f2b935e2.png,用户购买相机V1018后，还得到了哪些赠品？,充电宝和2G存储卡。
34,image/0b6c7fb5-9456-474a-b80c-c7c065f2e66f.png,锦江酒店去年利润下降的主要原因是什么？,主要由于旅游市场走低导致星级酒店客房收入下跌，进而影响整体利润。
35,image/d9528a47-500b-4ec0-96bf-2951c7eda24b.png,杨洁篪在2023年7月23日的东盟地区论坛外长会上，是否就南海问题阐述了立场？,是的，他在当天针对南海问题进行了发言。
36,image/79362624-ca4c-406b-a69b-05fd9eaa9b05.png,任务二最早可能在哪一天完成？,任务二最早可能在2023-01-08完成。
37,image/44930fc8-8dbc-41ac-9928-eff4cff384a1.png,四居和跃层户型的均价设定时间是否有重叠？,是的，四居均价设定从2009-02-01持续到2009-02-10，而跃层均价设定从2009-02-10开始，两者在2月10日存在重叠。
38,image/0c853712-49dd-4544-888e-1a11397f8ef5.png,新泽西篮网在开局16连败后，谁暂代了主教练？,汤姆-巴莱斯。
39,image/eee034b7-c8a1-4707-9801-54b72515137f.png,地震信息是如何从监测中心传递到公众的？,监测中心检测到地震后，将信息通报给新华网，再由新华网向公众报道。
40,image/cea6f040-362f-4cce-87f3-57364592ffd5.png,在Pilanesburg野生动物园游览中，游客是否发现了所有五大神兽？,没有发现所有五大神兽，其中狮子未被发现。
41,image/6a0585dd-acfc-492b-a3f0-6decbc099e50.png,Selina为何决定重拍婚纱照？,因为之前拍摄的婚纱照中她的身体状态尚未完全恢复，而现在她表示身体已经恢复良好。
42,image/1b201ea8-0712-4c17-bd43-3ed9e06b87c4.png,Kaman Corp在提交备用注册申请后，为何能在有利条件下快速进入市场？,因为备用注册机制允许公司在未来三年内根据市场需求快速发行证券，无需再次进行繁琐的注册流程。
43,image/d9528a47-500b-4ec0-96bf-2951c7eda24b.png,杨洁篪在2023年7月23日的东盟地区论坛外长会上，是否就南海问题表明了立场？,是的，他在当天针对南海问题进行了发言。
44,image/b7209b75-077e-4a55-b9ea-ee459b590d9c.png,神舟F300T评估是在哪一天开始的？,根据流程图，神舟F300T评估开始于2023年4月5日。
45,image/79362624-ca4c-406b-a69b-05fd9eaa9b05.png,任务二最早可能在哪一天完成？,2023-01-08。
46,image/0b6c7fb5-9456-474a-b80c-c7c065f2e66f.png,锦江酒店去年利润下降的主要原因是什么？,由于旅游市场走低导致星级酒店客房收入下跌，进而引起自营酒店收入减少。
47,image/dc51dbb8-d3c5-43a1-887b-a3d4e6454785.png,为何泰国总理撤回了选举提议？,因为“红衫军”拒绝停止集会，导致原定于11月14日的选举提议被撤销。
48,image/b7209b75-077e-4a55-b9ea-ee459b590d9c.png,神舟F300T评估在哪个时间段进行？,2023-04-05至2023-04-07。
49,image/98529065-1576-4af4-91b9-aeac6fe568d0.png,用户最终是否同意了设计师的方案？,是的，用户同意了包含客厅、厨房、卧房、卫浴的超迷你住宅设计方案并决定实施。
50,image/67539cf8-5f18-4703-b0fd-f625b178c8a3.png,用户在什么情况下可以发表评论？,当新闻更新后，用户可以在评论发表环节通过“我要评论”进行发言。
51,image/9125d93e-84c8-45f5-811b-b33bb2ff5d5c.png,考生在听到哪种信号后应停止答题？,考生在听到长铃20秒的结束信号后应停止答题。
52,image/37fc229d-9f20-4358-bed0-a20a3ee1e746.png,罗杰斯认为欧元未来的可能性有哪些？,罗杰斯认为欧元未来可能继续存活或在15-20年内成为货币联盟历史。
53,image/e1509180-1c32-4ead-91cf-aa72d4f1d37d.png,Bill Gross为何建议减少持有抵押债券？,因预测经济复苏将导致信用风险上升，需调整资产配置以规避风险。
54,image/79af28ff-feb5-4aa9-9a59-c747adef0709.png,硬件规格的性能测试在哪个时间段进行？,2023-03-05 至 2023-03-09。
55,image/9c76d1e5-734c-4b1f-ada4-026bbafeb29d.png,电信运营商如何通过合作推动电子书市场发展？,电信运营商如中移动通过联合电子书厂商推出定制终端、捆绑手机号码实现用户管理，并提供多样付费模式，同时联通与电信合作探索手机阅读方案，优化运营模式以适应国内产业链生态，从而推动市场发展。
56,image/96f21b62-3fa0-4c18-822a-43054b09d63c.png,合作协议的签署日期是哪一天？,2023年4月1日。
57,image/b65ba7d5-1274-4103-a43f-8ac4ce8474ee.png,"为什么缴纳第五届""中华脊梁""会费的时间早于第二届？",根据图表，缴纳第五届会费时间为2010-01-02，而第二届为2017-01-02，表明第五届活动实际发生在第二届之前，可能因活动举办顺序标注错误或年份逻辑混乱。
58,image/c66aac56-ef79-4aaa-85b7-10f0c9d2eaa8.png,同方电子何时开始加大LED电视的出口销售？,根据计划，同方电子将在2023年10月1日开始加大出口销售。
59,image/b7209b75-077e-4a55-b9ea-ee459b590d9c.png,神舟F300T评估是在哪个时间段进行的？,神舟F300T评估从2023年4月5日开始，持续2天。
60,image/871735a9-ba56-4f1d-8457-d3b4598a2151.png,球员入围金球奖的条件是什么？,球员必须通过表现评估并成功入围，才能被颁发金球奖。
61,image/1ca9ba4e-78ec-473a-9023-0b75e89d62cf.png,中资股下跌对恒生指数有何影响？,中资股受A股跌势影响，拖累恒生指数下跌0.52%。
62,image/1f274f39-0bde-47c4-a5ba-b9373769ba8e.png,东港股份的分析流程中，哪项任务是最后完成的？,投资建议与盈利预测是东港股份分析流程中最后完成的任务。
63,image/52e16702-eefd-4f4f-af67-e0483ae8974e.png,Hulu为何封杀黑莓平板PlayBook？,因为用户通过PlayBook访问Hulu视频，而PlayBook支持原生Flash，可能引发内容安全或兼容性问题，导致Hulu决定封杀该设备。
64,image/570e4e14-10f8-4b77-9d01-4ebab9064314.png,Iconia Tablet的处理器和内存配置是什么？,Iconia Tablet搭载AMD Ontario C-50 APU（双核心1GHz）处理器，并配备2GB DDR3内存。
65,image/ebf8004a-4ee8-47c0-8feb-00d893227379.png,HTC Desire HD如何提升用户的操作体验？,通过4.3英寸超大屏幕和触摸式功能按键设计，结合良好的震动反馈实现。
66,image/17fe351d-c98b-4921-bacd-b53dc05e71a2.png,4月零售额增长为何没有带动股市上涨？,尽管零售额增长，但零售业盈利情况令人失望，导致股市低开并下跌。
67,image/d41d3a92-6fc1-4cb8-9ca1-d2342fa2165a.png,考生在公务员考试中出现违纪行为会受到哪些处理措施？,根据违纪严重程度，考生可能被取消本次报考资格、5年内不得报考公务员或终身不得报考公务员，并将其违纪信息记录至公务员录用考试违纪违规行为信息库。
68,image/31ee1967-9419-4b75-90da-64c02dca85a3.png,陈忠和在竞聘结果公布后有哪些反应？,他平静接受结果，计划休息一段时间，并感谢球迷的持续支持。
69,image/71e1c92b-d412-46cd-8c86-4c2089504f98.png,中国建筑工程的持股比例因增持变化了多少？,持股比例从51.96%增至52.01%，增加了0.05%。
70,image/2742c39e-95e8-47c3-b979-8a76cbb39bf5.png,摄制组在前往朝鲜拍摄前，需要完成哪些必要步骤？,摄制组需通过威根夜狼旅行公司向朝鲜当局提出并获得拍摄方案批准，申请并获得签证，同时寻求索尔福德大学的资金支持，并确认与BBC的制作要约。
71,image/e90db4c6-ee6a-4198-8f72-c262228421ce.png,主犯为何被判处无期徒刑？,因其在跨省多地多次实施抢劫犯罪，且行为恶劣，法院根据其犯罪情节、认罪态度及逮捕后表现依法作出判决。
72,image/c9d8ec8d-8aa6-48fd-82cf-8bba7d46aef7.png,韦迪对孙卫执教的评价如何？,韦迪肯定了孙卫在执教期间的敬业态度，并认为他未来有望留在教练组。
73,image/570e4e14-10f8-4b77-9d01-4ebab9064314.png,宏碁在CES 2011上展示的Iconia Tablet采用了什么处理器？,AMD Ontario C-50 APU，双核心1GHz。
74,image/d9528a47-500b-4ec0-96bf-2951c7eda24b.png,杨洁篪在2023年7月23日的东盟地区论坛外长会上，是否就南海问题阐述了中国的立场？,是的，他在当天的会议上针对南海问题进行了发言。
75,image/cf897c97-7c2c-44e6-9ce7-3d1f2b5c81e4.png,IMF为何建议日本提高销售税率至7-8%？,可能是为了改善财政状况，应对经济挑战，确保长期经济稳定。
76,image/c001258b-2267-4be2-a126-e37937540567.png,OECD对日本经济因灾害可能造成的GDP损失估计是多少？,OECD估计日本经济可能因灾害导致GDP减少3.3%至5.2%。
77,image/fb987c95-5f73-4bc5-a974-002475073db4.png,为何橱柜市场呈现两极分化趋势？,因为消费市场趋势推动20%的品牌产品和平价产品分别占据80%和20%的市场份额，导致品牌优势与低价竞争并存，进而引发行业整合和服务升级，形成强者更强、弱者消亡的格局。
78,image/ac04945b-b4af-4782-a2cf-bfd62aa4debb.png,海南免税政策试行为何能推动旅游行业发展？,因为免税商品热销超出预期，东方证券据此发布报告推荐相关股票，间接提振了市场对旅游行业的信心。
79,image/0d25a673-1ea5-4e89-95eb-6ba76f4463d9.png,中国女队在第二轮比赛后处于什么名次？,中国女队团体居次席。
80,image/798cb575-c7dc-4976-b1c3-3574a1879a83.png,中国男篮备战亚运会的核心策略是什么？,通过内线实验和小个阵容探索，在亚洲范围内建立优势，并以美国明星队为试金石磨合阵容。
81,image/a5bd07e8-4060-4ece-b88e-a3abfc3bc4f3.png,欧盟为何对中国处决罪犯发表谴责声明？,欧盟出于对人权问题的关注，对中国司法行为表示谴责，认为其不符合国际人权标准。
82,image/c001258b-2267-4be2-a126-e37937540567.png,OECD对日本经济因灾害可能造成的影响有何估计？,OECD估计灾害可能导致日本GDP减少3.3%至5.2%。
83,image/47ecc983-e973-4836-880a-2041f457053c.png,沪指承压的原因是什么？,加息预期增强导致市场资金成本上升，投资者信心受挫，从而使得沪指承压。
84,image/b65ba7d5-1274-4103-a43f-8ac4ce8474ee.png,"为什么缴纳第五届""中华脊梁""会费的时间早于第二届？",因为图表显示第五届缴费时间为2010-01-02，而第二届为2017-01-02，时间顺序存在矛盾。
85,image/bde3b32d-8925-4c90-b949-f50d33927098.png,邓超如何回应公众对他公益行为的争议？,他通过持续的时间和实际行动证明自己的公益之心，并承诺坚持带来更多帮助。
86,image/88f52546-e2cb-4575-986c-45687ed7a9b8.png,促销活动的产品上架与其他三项任务的开始时间是否一致？,一致，产品上架、赠品准备、广告发布和销售跟踪均从2023-01-07开始。
87,image/d556d7c0-9023-45c3-afde-fae3afdd70b2.png,钢材价格上升趋势是否会在夏季出现拐点？,根据供需变化，夏季需求下降叠加闲置产能释放，可能促使钢材价格上升趋势出现拐点。
88,image/a5bd07e8-4060-4ece-b88e-a3abfc3bc4f3.png,欧盟为何对中国处决罪犯发表谴责声明？,欧盟出于对人权问题的关注，试图以谴责方式干预中国的司法行为。
89,image/ee579c51-fb9e-4467-8c2a-b5747ce1e148.png,暴跌分析任务的开始时间和持续时间是多少？,暴跌分析任务从2023年1月5日开始，持续2天。
90,image/30179a4f-c9b9-4730-91e6-1ecea72ce336.png,谁是日本新首相人选中支持率最高者？,前外务大臣前原诚司，支持率为7%，基于1681位受访者的调查结果。
91,image/14de8c6f-f7fd-4eb6-b6ff-d57ea91a45f5.png,为什么当前债券型基金分红能力增强？,因为债券市场走强，债券型基金收益丰厚，从而提升了其分红能力。
92,image/f72cfe8e-81af-469c-b8ca-e2517db16263.png,4月CPI是否剔除政府一次性纾困措施会影响哪种通胀率的计算？,若剔除则计算基本通胀率，否则计算整体通胀率。
93,image/712ef8cd-a643-4d78-9cf3-55dbbf5e4df3.png,哪些板块或个股在2023年1月期间表现出上涨趋势？,石化股份中的中石化和上海石化、汽车股中的华晨汽车、广汽集团、东风集团和比亚迪、其他股份中的恒大地产、霸王集团和国美电器均在2023年1月期间表现出上涨趋势。
94,image/320e0db6-dd2a-4ff4-bf81-47d3cb5bf4ee.png,邵佳一在沃利茨战术体系中的角色是什么？,邵佳一是球队的进攻组织者，被定位在前腰位置，并在最近三场比赛中贡献了2进球2助攻。
95,image/5fef5566-c947-4405-b2ec-a6411ac1db7a.png,哪支球队对杰梅因-奥尼尔表现出兴趣并进入交易谈判？,迈阿密热火对杰梅因-奥尼尔表现出兴趣并进入交易谈判。
96,image/4953fd9d-0959-4f4a-80bc-a1f432da8fd3.png,Windows 7预售活动策划是在哪个时间段完成的？,2023年9月1日至2023年9月15日。
97,image/71e1c92b-d412-46cd-8c86-4c2089504f98.png,中国建筑工程的持股比例因增持后变为多少？,持股比例由51.96%增至52.01%。
98,image/ee579c51-fb9e-4467-8c2a-b5747ce1e148.png,暴跌分析任务何时开始？,根据图表，暴跌分析任务在2023-01-05开始。
99,image/bcd56f85-b895-49bc-9b2a-78e72001e44d.png,哪只QDII基金在海外市场下跌时表现最好？,工银全球基金，仅下跌2.29%。
100,image/e90db4c6-ee6a-4198-8f72-c262228421ce.png,主犯为何被判处无期徒刑？,因组织并实施多起跨省抢劫，且犯罪持续时间长、涉及区域广，社会危害性大。
